State,County,G_16,M_16,US_16,U_16,V_16,H_16,G_17,M_17,US_17,U_17,V_17,H_17,IO_16,IO_17,healthy
California,Solano,0.7595628415300546,0.23497267759562843,0.00546448087431694,0.0,0.0,0.0,0.6684931506849315,0.3041095890410959,0.0136986301369863,0.0136986301369863,0.0,0.0,1.0,1.0,0
California,Sonoma,0.9508196721311475,0.04918032786885246,0.0,0.0,0.0,0.0,0.852054794520548,0.13424657534246576,0.005479452054794521,0.00821917808219178,0.0,0.0,1.0,1.0,1
California,Stanislaus,0.4016393442622951,0.4808743169398907,0.1092896174863388,0.00819672131147541,0.0,0.0,0.4273972602739726,0.4,0.1506849315068493,0.021917808219178082,0.0,0.0,1.0,1.0,0
California,Sutter,0.453551912568306,0.45901639344262296,0.08743169398907104,0.0,0.0,0.0,0.4958904109589041,0.4794520547945205,0.024657534246575342,0.0,0.0,0.0,1.0,0.0,0
California,Tehama,0.6174863387978142,0.2677595628415301,0.10109289617486339,0.01366120218579235,0.0,0.0,0.7178082191780822,0.25753424657534246,0.01643835616438356,0.00821917808219178,0.0,0.0,1.0,1.0,0
California,Tulare,0.2185792349726776,0.4426229508196721,0.2786885245901639,0.060109289617486336,0.0,0.0,0.2547945205479452,0.3972602739726027,0.26301369863013696,0.08493150684931507,0.0,0.0,1.0,1.0,0
California,Yolo,0.8005464480874317,0.1885245901639344,0.01092896174863388,0.0,0.0,0.0,0.726027397260274,0.2547945205479452,0.01643835616438356,0.0027397260273972603,0.0,0.0,1.0,1.0,0
Colorado,Adams,0.7185792349726776,0.2786885245901639,0.00273224043715847,0.0,0.0,0.0,0.5643835616438356,0.4301369863013699,0.005479452054794521,0.0,0.0,0.0,1.0,1.0,0
Colorado,Alamosa,0.9833333333333333,0.011111111111111112,0.002777777777777778,0.0,0.002777777777777778,0.0,0.9943502824858758,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0
Colorado,Arapahoe,0.7295081967213115,0.2540983606557377,0.01639344262295082,0.0,0.0,0.0,0.6136986301369863,0.36712328767123287,0.019178082191780823,0.0,0.0,0.0,1.0,1.0,0
Colorado,Denver,0.45081967213114754,0.5382513661202186,0.01092896174863388,0.0,0.0,0.0,0.5013698630136987,0.4931506849315068,0.005479452054794521,0.0,0.0,0.0,0.0,0.0,0
Colorado,Douglas,0.6988950276243094,0.2569060773480663,0.04143646408839779,0.0027624309392265192,0.0,0.0,0.5674931129476584,0.3856749311294766,0.0440771349862259,0.0027548209366391185,0.0,0.0,1.0,1.0,0
